Regional,Province,District,Sub-District,Derivation,Source,Source Type,Other Source Type,Channel,Period,Locale
ภาคกลาง,กรุงเทพมหานคร,เขตหนองจอก,ลำผักชี,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,หนังสือราชการหรือหนังสือจากหน่วยงาน,12:01 – 18:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตบางแค,บางแค,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,หนังสือราชการหรือหนังสือจากหน่วยงาน,12:01 – 18:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตทวีวัฒนา,ศาลาธรรมสพน์,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,ระบบ,18:01 – 00:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตบางซื่อ,วงศ์สว่าง,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,ระบบ,06:01 – 12:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตประเวศ,ดอกไม้,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,ระบบ,00:01 – 06:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตคลองเตย,พระโขนงเหนือ,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,หนังสือราชการหรือหนังสือจากหน่วยงาน,06:01 – 12:00,สถานที่ทำงาน
ภาคกลาง,กรุงเทพมหานคร,เขตประเวศ,ประเวศ,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,บ้านพักเด็กและครอบครัว,ไม่ระบุ,โทรศัพท์,06:01 – 12:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตคลองสามวา,บางชัน,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,ข่าว,12:01 – 18:00,สถานที่สาธารณะ
ภาคกลาง,กรุงเทพมหานคร,เขตประเวศ,ประเวศ,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,โทรศัพท์,12:01 – 18:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตบางเขน,อนุสาวรีย์,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สำนักข่าว,ไม่ระบุ,ข่าว,18:01 – 00:00,สถานที่สาธารณะ
ภาคกลาง,กรุงเทพมหานคร,เขตทุ่งครุ,บางมด,VCIS Referer มาจาก ศปก. (Incident นี้ถูก Refer มาจาก ศปก อื่น ผ่านระบบ VCIS),หน่วยงาน,การส่งต่อเคสระหว่างจังหวัด,ไม่ระบุ,หนังสือราชการหรือหนังสือจากหน่วยงาน,06:01 – 12:00,สถานที่สาธารณะ
ภาคกลาง,กรุงเทพมหานคร,เขตดุสิต,ดุสิต,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,ระบบ,12:01 – 18:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตมีนบุรี,มีนบุรี,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,ระบบ,06:01 – 12:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตทุ่งครุ,บางมด,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,ระบบ,06:01 – 12:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตวังทองหลาง,วังทองหลาง,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,โรงพยาบาล,ไม่ระบุ,หนังสือราชการหรือหนังสือจากหน่วยงาน,18:01 – 00:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตสวนหลวง,สวนหลวง,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,โรงพยาบาล,ไม่ระบุ,หนังสือราชการหรือหนังสือจากหน่วยงาน,18:01 – 00:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตภาษีเจริญ,บางหว้า,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,ระบบ,00:01 – 06:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตดอนเมือง,สีกัน,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,ระบบ,00:01 – 06:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตสาทร,ยานนาวา,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,ระบบ,18:01 – 00:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตสะพานสูง,สะพานสูง,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,ระบบ,12:01 – 18:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตจตุจักร,จตุจักร,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,ระบบ,12:01 – 18:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตตลิ่งชัน,ตลิ่งชัน,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,ระบบ,18:01 – 00:00,สถานที่สาธารณะ
ภาคกลาง,กรุงเทพมหานคร,เขตสายไหม,คลองถนน,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,ระบบ,18:01 – 00:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตจอมทอง,บางค้อ,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,อื่นๆ (ระบุ),ศาลอาญาธนบุรี,หนังสือราชการหรือหนังสือจากหน่วยงาน,06:01 – 12:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตสวนหลวง,อ่อนนุช,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,ระบบ,18:01 – 00:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตลาดพร้าว,ลาดพร้าว,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,หนังสือราชการหรือหนังสือจากหน่วยงาน,12:01 – 18:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตพระนคร,บ้านพานถม,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,หนังสือราชการหรือหนังสือจากหน่วยงาน,06:01 – 12:00,สถานที่สาธารณะ
ภาคกลาง,กรุงเทพมหานคร,เขตบางพลัด,บางพลัด,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,หนังสือราชการหรือหนังสือจากหน่วยงาน,12:01 – 18:00,สถานที่สาธารณะ
ภาคกลาง,กรุงเทพมหานคร,เขตจอมทอง,บางขุนเทียน,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,หนังสือราชการหรือหนังสือจากหน่วยงาน,00:01 – 06:00,สถานที่ส่วนบุคคล
ภาคกลาง,กรุงเทพมหานคร,เขตราษฎร์บูรณะ,บางปะกอก,VCIS (Incident ถูกสร้างจากระบบ VCIS),หน่วยงาน,สายด่วน 1300,ไม่ระบุ,ระบบ,12:01 – 18:00,สถานที่ส่วนบุคคล
